user_id,personality_type,turn,agent_type,speaker,emotion_label,text,pleasure,arousal,dominance,scenario,V_xt,threshold,should_switch
ENFP_0,ENFP,5,AI,user,determination,太棒啦！你们的专业态度让我超有信心！我会继续积极配合，期待尽快看到圆满的解决方案哦！,0.5765803563868406,0.9834045946719596,0.5561619613597075,投诉处理,-0.0420657217838083,-0.0341663437488653,0
ENFP_0,ENFP,6,AI,user,pride,我想咨询投诉处理的问题,0.505791903218691,0.919588502083966,0.5053639691517655,投诉处理,-0.0357332278996383,-0.0341663437488653,0
ENFP_0,ENFP,7,AI,user,pride,关于投诉处理我有疑问,0.5147322749354638,0.96820237672655,0.5728822757502047,投诉处理,-0.0399919258511539,-0.0341663437488653,0
ENFP_0,ENFP,8,AI,user,confidence,请帮我处理投诉处理相关事宜,0.5015447086879047,1.0,0.5965060611737372,投诉处理,-0.0420045615754827,-0.0341663437488653,0
ENFP_1,ENFP,5,AI,user,neutral,我想咨询订单服务的问题,0.4869190100129251,0.7769240544136945,0.3864245271071176,订单服务,-0.139321112111443,-0.0966645685171406,0
ENFP_1,ENFP,6,AI,user,neutral,请帮我处理订单服务相关事宜,0.3820093639613804,0.7410307401789847,0.378035336088532,订单服务,-0.0980471557945744,-0.0966645685171406,0
ENFP_1,ENFP,7,AI,user,neutral,关于订单服务我有疑问,0.3944205374348503,0.7578131227890688,0.407876823830057,订单服务,-0.1024029980648576,-0.0966645685171406,0
ENFP_1,ENFP,8,AI,user,neutral,请帮我处理订单服务相关事宜,0.416599163395991,0.8055236228682415,0.455707837333618,订单服务,-0.1136655749324497,-0.0966645685171406,0
ENFP_2,ENFP,5,AI,user,neutral,哇！这个功能听起来太酷了！能具体说说它是怎么分析我的喜好的吗？好期待了解这些高科技的细节！,0.4795006516509585,0.741754053238984,0.317338793323864,产品咨询,-0.0154822950768574,-0.0107657352215448,0
ENFP_2,ENFP,6,AI,user,neutral,哇！这个智能算法听起来超酷的！能详细说说它是怎么学习我的使用习惯的吗？,0.4378822295322594,0.7335063091574421,0.3626932761062544,产品咨询,-0.0166814518410252,-0.0107657352215448,0
ENFP_2,ENFP,7,AI,user,neutral,哇！这个功能听起来超酷的！不过我更想知道它会不会影响我的隐私数据呀？能简单说说吗？,0.3987746798974978,0.7480734266790279,0.2929278190577035,产品咨询,-0.0164003905290815,-0.0107657352215448,0
ENFP_2,ENFP,8,AI,user,neutral,哇！听起来超靠谱的！不过我更想知道这个产品具体能帮我解决哪些实际问题呢？,0.4536102259900743,0.7148425252746089,0.2326272198085879,产品咨询,-0.0130685196079266,-0.0107657352215448,0
ENFP_3,ENFP,5,AI,user,neutral,哇！限量版听起来超有意思的！快告诉我每款产品的设计灵感吧，我已经等不及要收藏啦！,0.5282598278955477,0.8042458271359132,0.3243285276497089,产品咨询,-0.0194598045540798,-0.009441076968225,0
ENFP_3,ENFP,6,AI,user,neutral,哇！星空主题听起来太浪漫了！能具体说说A款的材质和尺寸吗？我好期待看到实物呀！,0.5038453472448139,0.8557743658947493,0.3469492635212154,产品咨询,-0.0249276285135811,-0.009441076968225,0
ENFP_5,ENFP,5,AI,user,neutral,关于技术支持我有疑问,0.542007802645206,1.0,0.3786129618892195,技术支持,-0.0057824139253071,-0.0019168370576296,0
ENFP_5,ENFP,6,AI,user,neutral,关于技术支持我有疑问,0.400822348993608,0.9685047371980564,0.4431167320608108,技术支持,-0.0076694622985154,-0.0019168370576296,0
ENFP_4,ENFP,5,AI,user,pride,哇！这个功能听起来简直是为我量身定做的！快告诉我怎么操作吧，我已经迫不及待想试试看啦！,0.4391592836033256,0.8831807405501111,0.6075327977264503,产品咨询,0.0259991058605008,0.0247196458496271,1
ENFP_4,ENFP,6,AI,user,neutral,太棒啦！我最想先了解那个创意编辑功能，听起来就超有趣！能详细说说怎么玩转它吗？,0.3932294856425058,0.9486123786449836,0.5589026413439104,产品咨询,0.0233950367044188,0.0247196458496271,0
ENFP_4,ENFP,7,AI,user,neutral,哇！这个功能听起来太酷了！快给我演示看看，我已经等不及要发挥创意啦！,0.4103294758798861,0.9436603797708027,0.4628735560432069,产品咨询,0.022884820721229,0.0247196458496271,0
ENFP_4,ENFP,8,AI,user,pride,哇！这个功能简直太棒了！我已经迫不及待想试试看了，就从最核心的创意编辑部分开始吧！,0.4077441183076637,0.8672040031791948,0.5461291056863705,产品咨询,0.0228311713237687,0.0247196458496271,0
ENFP_4,ENFP,9,AI,user,determination,太棒了！我超想了解视频特效模块！快告诉我它能做出哪些炫酷效果吧！,0.5076215289244606,0.806461884104852,0.5053350751668846,产品咨询,0.0274959327161097,0.0247196458496271,1
ENFP_6,ENFP,5,AI,user,neutral,关于订单服务我有疑问,0.3319972974053026,0.7963923705601201,0.4507809232559006,订单服务,-0.008746728662582,-0.0105028847955453,1
ENFP_6,ENFP,6,AI,user,neutral,请帮我处理订单服务相关事宜,0.3699705762649538,0.8644660284446528,0.5399932964486452,订单服务,-0.0104287949252256,-0.0105028847955453,1
ENFP_6,ENFP,7,AI,user,neutral,我想咨询订单服务的问题,0.3807909321143735,0.92410030172191,0.5259584272140316,订单服务,-0.0113385823579832,-0.0105028847955453,0
ENFP_6,ENFP,8,AI,user,neutral,我想咨询订单服务的问题,0.364338715862314,0.9170927156300172,0.4918158068618551,订单服务,-0.0100823766153292,-0.0105028847955453,1
ENFP_7,ENFP,5,AI,user,joy,我想咨询账户管理的问题,0.7278174528231157,0.9224824590657084,0.681555953358186,账户管理,-0.0080138344688878,-0.0020930445365915,0
ENFP_7,ENFP,6,AI,user,amusement,请帮我处理账户管理相关事宜,0.7628187193198493,1.0,0.6595233550296696,账户管理,-0.0093814521598921,-0.0020930445365915,0
ENFP_7,ENFP,7,AI,user,amusement,我想咨询账户管理的问题,0.755552540377656,1.0,0.6193373144648419,账户管理,-0.0092455989584194,-0.0020930445365915,0
ENFP_7,ENFP,8,AI,user,amusement,关于账户管理我有疑问,0.6840254865865913,1.0,0.6828433492008211,账户管理,-0.0111708081716004,-0.0020930445365915,0
ENFP_7,ENFP,9,AI,user,amusement,关于账户管理我有疑问,0.6867283698075478,1.0,0.7296360145226803,账户管理,-0.011497154564084,-0.0020930445365915,0
ENFP_7,ENFP,10,AI,user,amusement,我想咨询账户管理的问题,0.7407704018464175,1.0,0.8120862663086617,账户管理,-0.0110240421524875,-0.0020930445365915,0
ENFP_8,ENFP,5,AI,user,neutral,哇！这个功能听起来太棒了！我最想知道它的创意应用场景和操作便捷性，能详细说说吗？,0.582902752030221,0.9295693186090151,0.4099612611036775,产品咨询,-0.0299646578977433,-0.0177562569420912,0
ENFP_8,ENFP,6,AI,user,neutral,哇！听起来超棒的！能详细说说那个[具体场景示例]是怎么操作的吗？我已经迫不及待想试试啦！,0.4556133887898599,0.9195189093030988,0.4447479301614994,产品咨询,-0.0261475937119819,-0.0177562569420912,0
ENFJ_1,ENFJ,5,AI,user,amusement,关于技术支持我有疑问,0.694840769807947,0.6921200866382423,0.6578009265544619,技术支持,-0.0197604040822153,-0.0131402100818466,0
ENFJ_2,ENFJ,5,AI,user,amusement,我想咨询订单服务的问题,0.6696332769514156,0.8649749005282106,0.5179640779806537,订单服务,-0.1049335128001161,-0.0829937365267981,0
